time_min,height_fraction,nmp_state,lock_fraction,stress_mpa,modulus_mpa
1,0.54918033,0.94515242,0.00072717979,2.1442396e-06,0.020587888
1,0.56557377,0.94254695,0.00077049242,2.2260826e-06,0.020641186
1,0.58196721,0.93982076,0.00081857386,2.3115225e-06,0.020702131
1,0.59836066,0.9369694,0.00087207338,2.4008366e-06,0.020772078
1,0.6147541,0.93398817,0.00093174902,2.4943678e-06,0.020852668
1,0.63114754,0.93087208,0.00099848891,2.5925431e-06,0.020945903
1,0.64754098,0.92761588,0.0010733375,2.6958958e-06,0.021054232
1,0.66393443,0.92421398,0.0011575277,2.805096e-06,0.021180671
1,0.68032787,0.92066047,0.0012525209,2.9209895e-06,0.021328951
1,0.69672131,0.91694906,0.0013600567,3.0446501e-06,0.021503721
1,0.71311475,0.91307306,0.0014822146,3.1774484e-06,0.021710796
1,0.7295082,0.90902535,0.0016214924,3.321145e-06,0.02195751
1,0.74590164,0.90479832,0.0017809044,3.478016e-06,0.022253163
1,0.76229508,0.90038382,0.0019641069,3.6510248e-06,0.022609632
1,0.77868852,0.89577314,0.0021755583,3.8440588e-06,0.0230422
1,0.79508197,0.8909569,0.0024207252,4.062259e-06,0.023570671
1,0.81147541,0.88592501,0.0027063494,4.3124837e-06,0.024220923
1,0.82786885,0.88066657,0.0030407964,4.6039677e-06,0.025027043
1,0.8442623,0.87516979,0.0034345131,4.9492722e-06,0.026034335
1,0.86065574,0.86942186,0.0039006336,5.3656692e-06,0.027303556
1,0.87704918,0.86340885,0.0044557881,5.877189e-06,0.028916993
1,0.89344262,0.85711553,0.0051211903,6.5176919e-06,0.030987224
1,0.90983607,0.85052521,0.0059241139,7.335554e-06,0.033669944
1,0.92622951,0.84361952,0.0068999135,8.4009413e-06,0.037182925
1,0.94262295,0.83637816,0.0080948162,9.8173237e-06,0.041834443
1,0.95901639,0.82877864,0.009569816,1.1740093e-05,0.048066419
1,0.97540984,0.82079587,0.011406156,1.4407393e-05,0.056520827
1,0.99180328,0.81240173,0.013713124,1.819253e-05,0.06814334
1.5,0.0081967213,0.96073047,0.00051450627,1.4285425e-06,0.020349879
1.5,0.024590164,0.96065763,0.00051533935,1.4301293e-06,0.020350729
1.5,0.040983607,0.96051187,0.0005170104,1.433303e-06,0.020352436
1.5,0.057377049,0.96029305,0.00051952923,1.4380637e-06,0.020355015
1.5,0.073770492,0.96000096,0.00052291071,1.4444121e-06,0.020358487
1.5,0.090163934,0.95963529,0.00052717491,1.4523488e-06,0.020362881
1.5,0.10655738,0.95919568,0.00053234735,1.461875e-06,0.020368234
1.5,0.12295082,0.9586817,0.00053845928,1.4729927e-06,0.020374594
1.5,0.13934426,0.95809283,0.00054554807,1.4857045e-06,0.020382016
1.5,0.1557377,0.95742846,0.00055365761,1.500014e-06,0.020390565
1.5,0.17213115,0.95668794,0.00056283885,1.5159264e-06,0.02040032
1.5,0.18852459,0.9558705,0.00057315045,1.5334484e-06,0.020411372
1.5,0.20491803,0.95497533,0.00058465946,1.5525886e-06,0.020423825
1.5,0.22131148,0.95400149,0.00059744221,1.5733581e-06,0.0204378
1.5,0.23770492,0.952948,0.00061158525,1.5957709e-06,0.020453437
1.5,0.25409836,0.95181376,0.00062718655,1.6198443e-06,0.020470898
1.5,0.2704918,0.9505976,0.0006443568,1.6455995e-06,0.020490367
1.5,0.28688525,0.94929825,0.00066322096,1.6730625e-06,0.020512058
1.5,0.30327869,0.94791434,0.00068392004,1.7022646e-06,0.020536216
1.5,0.31967213,0.94644441,0.00070661317,1.7332437e-06,0.020563124
