scenario,time_min,mean_nmp,bottom_nmp,middle_nmp,top_nmp,bottom_stress_mpa,middle_stress_mpa,top_stress_mpa,max_stress_mpa,channel_g_j_m2,channel_risk
thin_slow,58,0.13038969,0.15672976,0.1376779,0.076382115,0.8465697,0.8832681,0.99770402,0.99770402,3.2254892,0.80637229
thin_slow,58.5,0.12868523,0.1548322,0.13589042,0.075208233,0.84864752,0.88501494,0.99774944,0.99774944,3.2361918,0.80904795
thin_slow,59,0.12700688,0.15295937,0.13412941,0.074059076,0.85066474,0.88669734,0.99773652,0.99773652,3.2464593,0.81161482
thin_slow,59.5,0.1253541,0.15111084,0.13239434,0.072933897,0.85262246,0.88831655,0.99766714,0.99766714,3.2562993,0.81407484
thin_slow,60,0.12372635,0.14928618,0.13068473,0.071831979,0.85452173,0.88987378,0.99754312,0.99754312,3.2657195,0.81642988
thin_slow,60.5,0.12212312,0.14748497,0.1290001,0.07075263,0.85636358,0.89137025,0.99736622,0.99736622,3.2747273,0.81868181
thin_slow,61,0.12054392,0.14570681,0.12733999,0.069695185,0.858149,0.8928071,0.99713811,0.99713811,3.2833298,0.82083246
thin_slow,61.5,0.11898825,0.14395131,0.12570392,0.068659005,0.85987896,0.89418548,0.99686042,0.99686042,3.2915344,0.82288361
thin_slow,62,0.11745565,0.1422181,0.12409148,0.067643474,0.86155439,0.8955065,0.99653472,0.99653472,3.2993481,0.82483703
thin_slow,62.5,0.11594565,0.1405068,0.12250221,0.066648,0.86317623,0.89677124,0.99616251,0.99616251,3.3067778,0.82669446
thin_slow,63,0.11445782,0.13881707,0.1209357,0.065672013,0.86474535,0.89798076,0.99574525,0.99574525,3.3138304,0.8284576
thin_slow,63.5,0.11299172,0.13714854,0.11939155,0.064714962,0.86626262,0.89913609,0.99528434,0.99528434,3.3205125,0.83012813
thin_slow,64,0.11154693,0.13550089,0.11786935,0.06377632,0.8677289,0.90023824,0.99478113,0.99478113,3.3268308,0.83170769
thin_slow,64.5,0.11012304,0.13387379,0.11636872,0.062855575,0.86914501,0.9012882,0.99423692,0.99423692,3.3327916,0.8331979
thin_slow,65,0.10871967,0.13226692,0.11488926,0.061952237,0.87051175,0.90228694,0.99365298,0.99365298,3.3384015,0.83460037
thin_slow,65.5,0.10733641,0.13067997,0.11343062,0.061065832,0.8718299,0.90323539,0.99303051,0.99303051,3.3436666,0.83591664
thin_slow,66,0.1059729,0.12911264,0.11199243,0.060195905,0.87310024,0.90413449,0.9923707,0.9923707,3.3485931,0.83714827
thin_slow,66.5,0.10462877,0.12756464,0.11057433,0.059342013,0.87432351,0.90498512,0.99167466,0.99167466,3.353187,0.83829676
thin_slow,67,0.10330366,0.12603568,0.10917598,0.058503734,0.87550044,0.90578819,0.99094349,0.99094349,3.3574544,0.8393636
thin_slow,67.5,0.10199723,0.12452547,0.10779705,0.057680657,0.87663175,0.90654454,0.99017824,0.99017824,3.361401,0.84035026
thin_slow,68,0.10070914,0.12303376,0.1064372,0.056872388,0.87771813,0.90725504,0.98937994,0.98937994,3.3650327,0.84125817
thin_slow,68.5,0.099439065,0.12156027,0.10509611,0.056078544,0.87876026,0.90792049,0.98854956,0.98854956,3.368355,0.84208874
thin_slow,69,0.098186681,0.12010475,0.10377347,0.055298758,0.87975882,0.90854173,0.98768807,0.98768807,3.3713735,0.84284337
thin_slow,69.5,0.096951677,0.11866694,0.10246897,0.054532674,0.88071445,0.90911953,0.98679636,0.98679636,3.3740937,0.84352342
thin_slow,70,0.095733749,0.1172466,0.10118231,0.053779948,0.88162781,0.90965468,0.98587535,0.98587535,3.3765209,0.84413023
thin_slow,70.5,0.094532601,0.11584348,0.09991319,0.053040249,0.8824995,0.91014795,0.98492587,0.98492587,3.3786606,0.84466514
thin_slow,71,0.093347942,0.11445735,0.098661331,0.052313256,0.88333016,0.91060007,0.98394877,0.98394877,3.3805177,0.84512943
thin_slow,71.5,0.092179492,0.11308797,0.097426448,0.051598659,0.88412038,0.91101177,0.98294485,0.98294485,3.3820976,0.84552439
thin_slow,72,0.091026975,0.11173513,0.096208266,0.050896159,0.88487075,0.91138379,0.98191488,0.98191488,3.3834051,0.84585128
thin_slow,72.5,0.089890121,0.1103986,0.095006514,0.050205466,0.88558185,0.91171681,0.98085962,0.98085962,3.3844453,0.84611133
thin_slow,73,0.088768669,0.10907816,0.093820931,0.0495263,0.88625425,0.91201153,0.97977979,0.97977979,3.385223,0.84630576
thin_slow,73.5,0.087662363,0.10777361,0.092651256,0.04885839,0.88688852,0.91226862,0.97867611,0.97867611,3.3857431,0.84643576
thin_slow,74,0.086570953,0.10648473,0.091497239,0.048201473,0.88748519,0.91248874,0.97754925,0.97754925,3.3860101,0.84650253
thin_slow,74.5,0.085494194,0.10521132,0.090358631,0.047555297,0.88804481,0.91267255,0.97639987,0.97639987,3.3860288,0.8465072
thin_slow,75,0.084431847,0.10395318,0.08923519,0.046919615,0.8885679,0.91282068,0.97522862,0.97522862,3.3858037,0.84645093
thin_slow,75.5,0.08338368,0.10271011,0.088126678,0.046294189,0.88905499,0.91293375,0.97403612,0.97403612,3.3853394,0.84633484
thin_slow,76,0.082349464,0.10148193,0.087032864,0.045678788,0.88950659,0.91301238,0.97282296,0.97282296,3.3846401,0.84616003
thin_slow,76.5,0.081328976,0.10026844,0.085953519,0.045073191,0.8899232,0.91305717,0.97158974,0.97158974,3.3837103,0.84592759
thin_slow,77,0.080321999,0.099069451,0.08488842,0.04447718,0.89030532,0.9130687,0.97033701,0.97033701,3.3825543,0.84563858
thin_slow,77.5,0.07932832,0.09788479,0.083837348,0.043890546,0.89065344,0.91304757,0.96906533,0.96906533,3.3811763,0.84529407
thin_slow,78,0.078347729,0.096714275,0.08280009,0.043313085,0.89096803,0.91299433,0.96777523,0.96777523,3.3795803,0.84489508
thin_slow,78.5,0.077380023,0.095557729,0.081776434,0.042744601,0.89124956,0.91290955,0.96646722,0.96646722,3.3777706,0.84444264
thin_slow,79,0.076425002,0.094414979,0.080766174,0.042184903,0.89149851,0.91279376,0.9651418,0.9651418,3.375751,0.84393776
thin_slow,79.5,0.075482471,0.093285854,0.079769109,0.041633804,0.89171534,0.91264752,0.96379946,0.96379946,3.3735256,0.84338141
thin_slow,80,0.074552238,0.092170187,0.078785041,0.041091126,0.89190048,0.91247134,0.96244068,0.96244068,3.3710983,0.84277457
thin_slow,80.5,0.073634116,0.091067812,0.077813775,0.040556694,0.8920544,0.91226574,0.9610659,0.9610659,3.3684728,0.84211821
thin_slow,81,0.072727921,0.089978567,0.07685512,0.040030338,0.89217752,0.91203124,0.95967559,0.95967559,3.365653,0.84141326
thin_slow,81.5,0.071833475,0.088902292,0.07590889,0.039511893,0.89227029,0.91176833,0.95827015,0.95827015,3.3626426,0.84066066
thin_slow,82,0.0709506,0.08783883,0.074974901,0.039001201,0.89233312,0.9114775,0.95685003,0.95685003,3.3594452,0.83986131
thin_slow,82.5,0.070079124,0.086788025,0.074052973,0.038498105,0.89236644,0.91115924,0.95541562,0.95541562,3.3560645,0.83901612
thin_slow,83,0.069218878,0.085749724,0.07314293,0.038002455,0.89237066,0.91081401,0.95396732,0.95396732,3.3525039,0.83812598
thin_slow,83.5,0.068369697,0.084723777,0.072244598,0.037514104,0.8923462,0.91044229,0.95250553,0.95250553,3.348767,0.83719175
thin_slow,84,0.067531417,0.083710035,0.071357806,0.03703291,0.89229345,0.91004453,0.9510306,0.9510306,3.3448572,0.83621431
thin_slow,84.5,0.066703879,0.082708352,0.070482389,0.036558735,0.89221282,0.90962118,0.94954291,0.94954291,3.340778,0.83519449
thin_slow,85,0.065886928,0.081718583,0.069618182,0.036091443,0.89210471,0.90917267,0.94804281,0.94804281,3.3365325,0.83413314
thin_slow,85.5,0.06508041,0.080740586,0.068765023,0.035630904,0.89196949,0.90869946,0.94653065,0.94653065,3.3321243,0.83303107
thin_slow,86,0.064284173,0.079774221,0.067922756,0.03517699,0.89180755,0.90820195,0.94500677,0.94500677,3.3275563,0.83188909
thin_slow,86.5,0.063498072,0.078819348,0.067091224,0.034729577,0.89161928,0.90768057,0.94347148,0.94347148,3.322832,0.830708
thin_slow,87,0.062721961,0.077875831,0.066270275,0.034288544,0.89140505,0.90713574,0.94192511,0.94192511,3.3179543,0.82948858
thin_slow,87.5,0.061955697,0.076943536,0.065459759,0.033853774,0.89116522,0.90656785,0.94036797,0.94036797,3.3129265,0.82823162
thin_slow,88,0.061199142,0.076022328,0.06465953,0.033425152,0.89090016,0.9059773,0.93880036,0.93880036,3.3077515,0.82693787
thin_slow,88.5,0.060452159,0.075112078,0.063869442,0.033002567,0.89061024,0.90536449,0.93722258,0.93722258,3.3024323,0.82560809
thin_slow,89,0.059714612,0.074212654,0.063089353,0.032585909,0.89029581,0.90472981,0.9356349,0.9356349,3.296972,0.824243
thin_slow,89.5,0.05898637,0.073323929,0.062319125,0.032175074,0.88995721,0.90407361,0.93403761,0.93403761,3.2913734,0.82284335
thin_slow,90,0.058267302,0.072445777,0.061558619,0.031769958,0.88959481,0.9033963,0.93243098,0.93243098,3.2856394,0.82140985
thin_slow,90.5,0.057557283,0.071578072,0.0608077,0.03137046,0.88920894,0.90269821,0.93081528,0.93081528,3.2797728,0.81994321
thin_slow,91,0.056856185,0.070720691,0.060066238,0.030976483,0.88879994,0.90197973,0.92919077,0.92919077,3.2737765,0.81844412
thin_slow,91.5,0.056163887,0.069873513,0.0593341,0.03058793,0.88836815,0.90124119,0.92755769,0.92755769,3.2676531,0.81691328
thin_slow,92,0.055480267,0.069036417,0.058611159,0.030204708,0.88791389,0.90048296,0.92591629,0.92591629,3.2614054,0.81535135
thin_slow,92.5,0.054805207,0.068209285,0.057897288,0.029826727,0.88743751,0.89970537,0.92426682,0.92426682,3.255036,0.81375901
thin_slow,93,0.054138589,0.067391999,0.057192365,0.029453897,0.88693932,0.89890875,0.9226095,0.9226095,3.2485477,0.81213691
thin_slow,93.5,0.053480299,0.066584443,0.056496267,0.029086131,0.88641964,0.89809345,0.92094457,0.92094457,3.2419428,0.81048571
thin_slow,94,0.052830223,0.065786502,0.055808874,0.028723346,0.88587878,0.89725979,0.91927224,0.91927224,3.2352241,0.80880602
thin_slow,94.5,0.052188252,0.064998064,0.055130069,0.028365458,0.88531707,0.89640808,0.91759274,0.91759274,3.228394,0.8070985
thin_slow,95,0.051554275,0.064219016,0.054459735,0.028012386,0.88473481,0.89553865,0.91590628,0.91590628,3.221455,0.80536375
thin_slow,95.5,0.050928185,0.063449249,0.053797759,0.027664052,0.8841323,0.89465181,0.91421306,0.91421306,3.2144095,0.80360239
thin_slow,96,0.050309877,0.062688653,0.053144028,0.027320378,0.88350985,0.89374786,0.91251329,0.91251329,3.20726,0.80181501
thin_slow,96.5,0.049699246,0.06193712,0.052498432,0.026981289,0.88286776,0.89282711,0.91080717,0.91080717,3.2000088,0.80000221
